active_calories,active_time,activity_type,ascent,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,descent,distance,duration_min,enabled,event,event_type,fit_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,source_file,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version,vigorous_activity_minutes
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1495.0,,,,,,1057068480.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,7264.0,,,,,,1057068480.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(12, 0, 4, 240)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:09:00,48.0,,,,,,,,,,-31,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1565.0,,,,,,1057068540.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(2, 32, 19, 11)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:10:00,57.0,,,,,,,,,,-42,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1537.0,,,,,,1057068600.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,65.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,38456.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,7264.0,,,,,,1057068600.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(74, 72, 0, 16)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:11:00,48.0,,,,,,,,,,-30,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1496.0,,,,,,1057068660.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,66.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,38516.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(10, 0, 0, 24)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:12:00,49.0,,,,,,,,,,-32,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1486.0,,,,,,1057068720.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,65.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,38576.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,7264.0,,,,,,1057068720.0,,,,,,,,,,,
