Set,Exercise Name,Time,Rest,Reps,Weight,Volume,SessionStart,LocalDate,Sport,File,FileBytes
36,Exercise None,01:01.4,,,,,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
37,Exercise None,00:40.0,,3,0 kg,0 kg,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
38,Exercise None,02:09.3,,,,,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
39,Exercise None,00:05.8,,4,0 kg,0 kg,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
40,Exercise None,01:07.5,,,,,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
41,Exercise None,00:29.3,,4,0 kg,0 kg,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
42,Exercise None,01:03.3,,,,,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
43,Exercise None,00:25.8,,4,0 kg,0 kg,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
44,Exercise None,00:58.5,,,,,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
45,Exercise None,00:42.4,,1,0 kg,0 kg,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
46,Exercise None,00:51.7,,,,,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
47,Exercise None,00:32.9,,1,0 kg,0 kg,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
48,Exercise None,00:52.0,,,,,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
49,Exercise None,00:38.7,,1,0 kg,0 kg,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
50,Exercise None,00:27.6,,,,,25/02/2025 21:06,25/02/2025,training,j.campton_314491658557.fit,72148
1,Exercise None,08:36.7,,1,0 kg,0 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
2,Exercise None,00:22.6,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
3,Exercise None,01:00.0,,12,20 kg,240 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
4,Exercise None,01:01.1,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
5,Exercise None,00:47.7,,8,40 kg,320 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
6,Exercise None,01:02.0,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
7,Exercise None,00:35.3,,4,50 kg,200 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
8,Exercise None,01:26.0,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
9,Exercise None,00:30.5,,2,60 kg,120 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
10,Exercise None,01:09.3,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
11,Exercise None,00:30.5,,2,60 kg,120 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
12,Exercise None,01:16.7,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
13,Exercise None,00:31.7,,2,60 kg,120 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
14,Exercise None,05:21.0,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
15,Exercise None,01:08.9,,5,35 kg,175 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
16,Exercise None,01:25.9,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
17,Exercise None,01:05.1,,5,35 kg,175 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
18,Exercise None,01:50.2,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
19,Exercise None,01:07.6,,5,35 kg,175 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
20,Exercise None,02:15.7,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
21,Exercise None,01:02.4,,5,35 kg,175 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
22,Exercise None,01:32.0,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
23,Exercise None,01:05.5,,5,35 kg,175 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
24,Exercise None,02:23.7,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
25,Exercise None,01:11.9,,5,45 kg,225 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
26,Exercise None,01:29.5,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
27,Exercise None,01:04.1,,5,45 kg,225 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
28,Exercise None,01:28.9,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
29,Exercise None,01:03.3,,5,45 kg,225 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
30,Exercise None,01:28.6,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
31,Exercise None,01:02.0,,5,45 kg,225 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
32,Exercise None,01:22.6,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
33,Exercise None,00:57.3,,5,45 kg,225 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
34,Exercise None,01:37.2,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
35,Exercise None,00:32.6,,5,30 kg,150 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
36,Exercise None,01:18.8,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
37,Exercise None,00:34.4,,5,50 kg,250 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
38,Exercise None,01:00.0,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
39,Exercise None,00:35.4,,5,50 kg,250 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
40,Exercise None,01:07.1,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
41,Exercise None,00:35.0,,5,50 kg,250 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
42,Exercise None,01:44.7,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
43,Exercise None,00:35.2,,5,50 kg,250 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
44,Exercise None,01:01.9,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
45,Exercise None,00:36.1,,5,50 kg,250 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
46,Exercise None,00:59.7,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
47,Exercise None,00:35.8,,8,0 kg,0 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
48,Exercise None,00:35.2,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
49,Exercise None,00:29.4,,8,0 kg,0 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
50,Exercise None,00:45.4,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
51,Exercise None,00:33.3,,8,0 kg,0 kg,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
52,Exercise None,00:19.2,,,,,26/02/2025 20:47,26/02/2025,training,j.campton_314755758228.fit,90630
1,Exercise None,08:58.4,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
2,Exercise None,00:56.3,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
3,Exercise None,00:53.1,,12,20 kg,240 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
4,Exercise None,00:58.4,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
5,Exercise None,00:50.3,,8,27.5 kg,220 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
6,Exercise None,01:00.9,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
7,Exercise None,00:30.1,,4,30 kg,120 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
8,Exercise None,00:57.3,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
9,Exercise None,00:25.1,,2,35 kg,70 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
10,Exercise None,00:47.8,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
11,Exercise None,00:28.5,,2,35 kg,70 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
12,Exercise None,00:59.4,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
13,Exercise None,00:31.2,,2,35 kg,70 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
14,Exercise None,01:53.5,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
15,Exercise None,01:01.4,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
16,Exercise None,01:00.1,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
17,Exercise None,00:52.7,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
18,Exercise None,00:58.0,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
19,Exercise None,00:54.9,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
20,Exercise None,00:58.2,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
21,Exercise None,01:00.9,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
22,Exercise None,01:01.1,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
23,Exercise None,01:07.2,,3,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
24,Exercise None,01:32.9,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
25,Exercise None,00:56.4,,3,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
26,Exercise None,01:12.4,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
27,Exercise None,00:55.5,,3,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
28,Exercise None,02:47.8,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
29,Exercise None,00:03.1,,1,50 kg,50 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
30,Exercise None,00:56.3,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
31,Exercise None,00:50.6,,1,50 kg,50 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
32,Exercise None,01:08.5,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
33,Exercise None,00:47.2,,1,50 kg,50 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
34,Exercise None,01:31.5,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
35,Exercise None,00:16.5,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
36,Exercise None,00:27.1,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
37,Exercise None,00:19.8,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
38,Exercise None,00:46.0,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
39,Exercise None,00:19.0,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
40,Exercise None,00:30.1,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
41,Exercise None,00:34.6,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
42,Exercise None,00:34.4,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
43,Exercise None,00:31.2,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
44,Exercise None,00:41.3,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
45,Exercise None,00:32.6,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
46,Exercise None,02:13.8,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
47,Exercise None,00:04.0,,4,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
48,Exercise None,01:07.8,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
49,Exercise None,00:34.9,,4,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
50,Exercise None,01:10.5,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
51,Exercise None,00:35.4,,4,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
52,Exercise None,00:55.4,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
53,Exercise None,00:23.6,,4,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
54,Exercise None,01:02.9,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
55,Exercise None,00:27.1,,4,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
56,Exercise None,01:04.1,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
57,Exercise None,00:30.8,,4,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
58,Exercise None,02:47.1,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
59,Exercise None,01:11.0,,2,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
60,Exercise None,00:59.2,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
61,Exercise None,00:41.3,,2,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
62,Exercise None,01:06.4,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
63,Exercise None,00:19.5,,1,0 kg,0 kg,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
64,Exercise None,01:20.8,,,,,1/03/2025 21:36,1/03/2025,training,j.campton_315403269044.fit,88479
1,Exercise None,08:48.1,,1,0 kg,0 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
2,Exercise None,00:12.0,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
3,Exercise None,01:01.4,,12,20 kg,240 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
4,Exercise None,01:42.7,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
5,Exercise None,00:45.0,,8,50 kg,400 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
6,Exercise None,01:19.3,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
7,Exercise None,00:35.7,,4,60 kg,240 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
8,Exercise None,01:48.2,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
9,Exercise None,00:03.4,,5,70 kg,350 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
10,Exercise None,01:16.4,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
11,Exercise None,00:38.6,,5,70 kg,350 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
12,Exercise None,01:10.8,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
13,Exercise None,00:41.9,,5,70 kg,350 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
14,Exercise None,01:11.2,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
15,Exercise None,00:39.3,,5,70 kg,350 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
16,Exercise None,01:23.3,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
17,Exercise None,00:40.9,,5,70 kg,350 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
18,Exercise None,01:21.4,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
19,Exercise None,00:41.9,,5,70 kg,350 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
20,Exercise None,03:30.2,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
21,Exercise None,00:03.0,,5,20 kg,100 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
22,Exercise None,01:01.8,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
23,Exercise None,01:11.3,,5,20 kg,100 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
24,Exercise None,01:33.8,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
25,Exercise None,00:38.8,,4,35 kg,140 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
26,Exercise None,01:04.2,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
27,Exercise None,00:42.5,,4,35 kg,140 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
28,Exercise None,01:16.3,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
29,Exercise None,00:39.5,,4,35 kg,140 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
30,Exercise None,01:32.1,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
31,Exercise None,00:36.3,,4,35 kg,140 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
32,Exercise None,01:11.7,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
33,Exercise None,01:00.0,,4,35 kg,140 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
34,Exercise None,01:23.7,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
35,Exercise None,01:02.7,,4,35 kg,140 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
36,Exercise None,01:25.3,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
37,Exercise None,00:50.3,,4,35 kg,140 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
38,Exercise None,01:52.1,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
39,Exercise None,00:47.4,,4,35 kg,140 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
40,Exercise None,02:23.8,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
41,Exercise None,01:04.8,,4,45 kg,180 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
42,Exercise None,01:19.8,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
43,Exercise None,00:55.5,,4,45 kg,180 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
44,Exercise None,02:26.5,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
45,Exercise None,00:51.5,,4,45 kg,180 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
46,Exercise None,01:54.7,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
47,Exercise None,00:52.1,,4,45 kg,180 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
48,Exercise None,01:06.2,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
49,Exercise None,00:30.7,,8,0 kg,0 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
50,Exercise None,01:47.7,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
51,Exercise None,00:31.2,,8,0 kg,0 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
52,Exercise None,01:53.3,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
53,Exercise None,00:32.3,,8,0 kg,0 kg,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
54,Exercise None,00:02.4,,,,,2/03/2025 21:57,2/03/2025,training,j.campton_315641001328.fit,92209
1,Exercise None,10:37.9,,1,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
2,Exercise None,00:13.9,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
3,Exercise None,00:51.1,,12,20 kg,240 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
4,Exercise None,01:01.0,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
5,Exercise None,00:42.2,,8,27.5 kg,220 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
6,Exercise None,01:20.9,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
7,Exercise None,00:31.6,,4,30 kg,120 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
8,Exercise None,00:59.9,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
9,Exercise None,00:30.5,,2,37.5 kg,75 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
10,Exercise None,01:01.8,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
11,Exercise None,00:27.3,,2,37.5 kg,75 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
12,Exercise None,01:03.5,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
13,Exercise None,00:33.7,,2,37.5 kg,75 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
14,Exercise None,03:05.0,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
15,Exercise None,00:44.2,,8,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
16,Exercise None,00:59.9,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
17,Exercise None,00:50.3,,8,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
18,Exercise None,01:00.9,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
19,Exercise None,00:35.7,,8,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
20,Exercise None,01:12.4,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
21,Exercise None,00:25.9,,1,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
22,Exercise None,00:44.9,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
23,Exercise None,00:26.1,,1,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
24,Exercise None,00:42.4,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
25,Exercise None,00:37.4,,1,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
26,Exercise None,01:26.7,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
27,Exercise None,00:45.2,,3,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
28,Exercise None,01:04.1,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
29,Exercise None,00:47.9,,3,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
30,Exercise None,00:58.7,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
31,Exercise None,00:47.4,,3,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
32,Exercise None,00:50.5,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
33,Exercise None,00:23.6,,4,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
34,Exercise None,00:48.0,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
35,Exercise None,00:26.6,,4,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
36,Exercise None,00:49.6,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
37,Exercise None,00:27.0,,4,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
38,Exercise None,01:25.6,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
39,Exercise None,00:42.9,,3,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
40,Exercise None,02:40.1,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
41,Exercise None,00:37.1,,3,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
42,Exercise None,00:57.7,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
43,Exercise None,01:03.6,,1,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
44,Exercise None,01:01.2,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
45,Exercise None,01:02.0,,1,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
46,Exercise None,01:48.5,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
47,Exercise None,00:51.8,,1,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
48,Exercise None,00:58.5,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
49,Exercise None,00:44.5,,1,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
50,Exercise None,00:45.4,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
51,Exercise None,00:42.0,,2,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
52,Exercise None,00:53.2,,,,,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
53,Exercise None,00:34.5,,2,0 kg,0 kg,3/03/2025 21:48,3/03/2025,training,j.campton_315869985995.fit,99423
