File,LocalDate,Sport,Sets,TotalReps,TotalVolume_kg,TopWeight_kg,AvgWeight_kg,WorkTime_s,RestTime_s,Density
j.campton_324774642145.fit,2025-04-10,training,54,74.0,1240.0,60.0,11.11111111111111,2792.1,0.0,1.0
j.campton_325023925963.fit,2025-04-11,training,42,87.0,3065.0,50.0,36.785714285714285,2586.1,0.0,1.0
j.campton_326236511552.fit,2025-04-16,training,25,60.0,2700.0,82.5,42.916666666666664,1807.5,0.0,1.0
j.campton_326504265329.fit,2025-04-17,training,48,99.0,805.0,37.5,7.916666666666667,3008.1,0.0,1.0
j.campton_326990266861.fit,2025-04-18,training,48,120.0,3595.0,50.0,32.708333333333336,3508.4,0.0,1.0
j.campton_327173759108.fit,2025-04-19,training,54,128.0,4575.0,55.0,36.851851851851855,3505.4,0.0,1.0
j.campton_327443946395.fit,2025-04-21,training,18,42.0,1240.0,60.0,33.333333333333336,1149.6,0.0,1.0
j.campton_327673898423.fit,2025-04-22,training,46,119.0,3435.0,65.0,34.67391304347826,3547.0,0.0,1.0
j.campton_328636310621.fit,2025-04-25,training,52,137.0,5105.0,85.0,37.98076923076923,3381.3,0.0,1.0
j.campton_328889007498.fit,2025-04-26,training,56,135.0,4555.0,50.0,32.767857142857146,3335.7,0.0,1.0
j.campton_329168463308.fit,2025-04-28,training,46,78.0,1100.0,45.0,10.652173913043478,2543.8,0.0,1.0
j.campton_329412367733.fit,2025-04-29,training,44,130.0,4360.0,60.0,38.18181818181818,3152.7,0.0,1.0
j.campton_330669948280.fit,2025-05-03,training,54,149.0,5055.0,60.0,37.592592592592595,4093.1,0.0,1.0
j.campton_331149651086.fit,2025-05-06,training,54,153.0,5785.0,52.5,42.03703703703704,2887.5,0.0,1.0
j.campton_336477158601.fit,2025-05-27,training,21,70.0,1460.0,60.0,32.5,3474.1000000000004,0.0,1.0
j.campton_337002868358.fit,2025-05-29,training,48,146.0,3660.0,40.0,28.958333333333332,3078.0,0.0,1.0
j.campton_338329936063.fit,2025-05-30,training,15,44.0,967.5,42.5,32.142857142857146,3026.8,0.0,1.0
j.campton_338329966476.fit,2025-06-01,training,38,90.0,2210.0,50.0,28.81578947368421,2714.6,0.0,1.0
j.campton_338329990596.fit,2025-06-03,training,20,38.0,1390.0,100.0,62.0,2127.2,0.0,1.0
j.campton_338880132698.fit,2025-06-05,training,40,94.0,2675.0,60.0,40.0,2489.4,0.0,1.0
