LogID,SessionID,MovementID,Sets_Prescribed,Reps_Prescribed,Load_Prescribed,Pct1RM_Prescribed,Sets_Actual,Reps_Actual,Load_Actual,RPE,Notes,Timestamp
LOG_20251125_163808_432527,OLY-BEG-B-B-02,MOV_PULL_ISO,3,10,0.0,,3,10,10.0,6,,2025-11-25T16:38:08
LOG_20251125_163808_152211,OLY-BEG-B-B-02,MOV_ABWHEEL,3,10,0.0,,3,10,10.0,6,,2025-11-25T16:38:08
LOG_20251126_151955_281999,10W_SQUAT-D-06,MOV_FRONT_SQUAT,6,4,67.5,78.0,6,4,67.5,6,,2025-11-26T15:19:55
LOG_20251127_131302_179168,OLY-BEG-B-C-02,MOV_CJ,6,2,55.0,80.0,6,2,55.0,6,,2025-11-27T13:13:02
LOG_20251127_131302_794649,OLY-BEG-B-C-02,MOV_CLEAN_PULL,5,4,80.0,1.0,5,4,80.0,6,,2025-11-27T13:13:02
LOG_20251127_131302_751661,OLY-BEG-B-C-02,MOV_BACK_SQUAT,5,3,87.5,80.0,5,3,87.5,6,,2025-11-27T13:13:02
LOG_20251127_131302_210186,OLY-BEG-B-C-02,MOV_RMU_TRANS_FA,3,3,0.0,,3,3,2.5,6,,2025-11-27T13:13:02
LOG_20251127_131302_323181,OLY-BEG-B-C-02,MOV_RING_DIP_BOTTOM_HOLD,3,15,0.0,,3,15,15.0,6,,2025-11-27T13:13:02
LOG_20251127_131302_293715,OLY-BEG-B-C-02,MOV_HOLLOW,3,,0.0,,3,0,30.0,6,,2025-11-27T13:13:02
LOG_20251127_131321_190457,10W_SQUAT-C-06,MOV_OHS,3,2,30.0,60.0,3,2,30.0,3,,2025-11-27T13:13:21
LOG_20251130_105555_181263,OLY-BEG-B-D-02,MOV_PSN_OHS_COMPLEX,6,2,0.0,,6,2,37.5,6,,2025-11-30T10:55:55
LOG_20251130_105555_314718,OLY-BEG-B-D-02,MOV_SNATCH_HPULL,5,3,52.5,0.95,5,3,57.5,6,,2025-11-30T10:55:55
LOG_20251130_105555_196626,OLY-BEG-B-D-02,MOV_FRONT_SQUAT,5,3,67.5,80.0,5,3,70.0,6,,2025-11-30T10:55:55
LOG_20251130_105555_254285,OLY-BEG-B-D-02,MOV_SN_PRESS,5,4,0.0,,5,4,20.0,6,,2025-11-30T10:55:55
LOG_20251130_105555_278584,OLY-BEG-B-D-02,MOV_LSIT,3,5,0.0,,3,5,30.0,6,,2025-11-30T10:55:55
LOG_20251130_105555_267403,OLY-BEG-B-D-02,MOV_SCAP_PULL,3,,0.0,,3,0,0.0,6,,2025-11-30T10:55:55
LOG_20251130_105555_211214,OLY-BEG-B-D-02,MOV_HOLLOWRK,3,15,0.0,,3,15,0.0,6,,2025-11-30T10:55:55
LOG_20251130_105613_197374,10W_SQUAT-F-06,MOV_OHS,3,2,35.0,70.0,3,2,37.5,6,,2025-11-30T10:56:13
LOG_20251130_105625_731099,10W_SQUAT-E-06,MOV_OHS,3,2,30.0,60.0,3,2,30.0,6,,2025-11-30T10:56:25
LOG_20251201_115208_166877,10W_SQUAT-A-07,MOV_OHS,4,4,42.5,85.0,4,4,0.0,6,completed this as part of Everrett B workout,2025-12-01T11:52:08
LOG_20251201_132857_347603,OLY-BEG-B-A-03,MOV_SNATCH,6,2,40.0,72.0,6,2,40.0,6,,2025-12-01T13:28:57
LOG_20251201_132857_801294,OLY-BEG-B-A-03,MOV_SNATCH_PULL,5,4,55.0,1.0,5,4,55.0,6,,2025-12-01T13:28:57
LOG_20251201_132857_248700,OLY-BEG-B-A-03,MOV_OHS,5,3,40.0,80.0,5,3,40.0,6,,2025-12-01T13:28:57
LOG_20251201_132857_248964,OLY-BEG-B-A-03,MOV_BACK_SQUAT,4,6,87.5,80.0,4,6,87.5,8,,2025-12-01T13:28:57
LOG_20251201_132857_483949,OLY-BEG-B-A-03,MOV_RINGROW,3,8,0.0,,3,8,7.5,8,,2025-12-01T13:28:57
LOG_20251201_132857_316959,OLY-BEG-B-A-03,MOV_RING_SUPPORT_HOLD,3,15,0.0,,3,15,20.0,6,,2025-12-01T13:28:57
LOG_20251201_132857_122791,OLY-BEG-B-A-03,MOV_ABWHEEL,3,10,0.0,,3,10,7.5,6,,2025-12-01T13:28:57
LOG_20251202_113801_190562,10W_SQUAT-B-07,MOV_FRONT_SQUAT,3,2,50.0,60.0,3,2,0.0,6,completed as part of the Everett lift session,2025-12-02T11:38:01
LOG_20251204_092603_648534,OLY-BEG-B-B-03,MOV_PC_FS_COMPLEX,6,2,0.0,,6,2,55.0,6,,2025-12-04T09:26:03
LOG_20251204_092603_266165,OLY-BEG-B-B-03,MOV_CLEAN_HPULL,5,3,72.5,0.9,5,3,0.0,6,I skipped this as my lower back was feeling a bit sore,2025-12-04T09:26:03
LOG_20251204_092603_324046,OLY-BEG-B-B-03,MOV_PJERK,6,3,0.0,,6,3,55.0,6,,2025-12-04T09:26:03
LOG_20251204_092603_102018,OLY-BEG-B-B-03,MOV_SHPRESS,5,4,50.0,0.7,5,4,55.0,6,,2025-12-04T09:26:03
LOG_20251204_092603_316009,OLY-BEG-B-B-03,MOV_WPU,3,5,0.0,,3,5,0.0,6,missed this due to fire call,2025-12-04T09:26:03
LOG_20251204_092603_324718,OLY-BEG-B-B-03,MOV_PULL_ISO,3,10,0.0,,3,10,0.0,6,missed this due to fire call,2025-12-04T09:26:03
LOG_20251204_092603_142379,OLY-BEG-B-B-03,MOV_ABWHEEL,3,10,0.0,,3,10,0.0,6,missed this due to fire call,2025-12-04T09:26:03
LOG_20251204_133137_250929,OLY-BEG-B-C-03,MOV_CJ,6,2,60.0,85.0,6,2,60.0,8,the jerks felt hard,2025-12-04T13:31:37
LOG_20251204_133137_179873,OLY-BEG-B-C-03,MOV_CLEAN_PULL,5,4,80.0,1.0,5,4,80.0,7,,2025-12-04T13:31:37
LOG_20251204_133137_269508,OLY-BEG-B-C-03,MOV_BACK_SQUAT,5,3,87.5,80.0,5,3,0.0,6,I did front squats in 10 week squat program instead,2025-12-04T13:31:37
LOG_20251204_133137_504396,OLY-BEG-B-C-03,MOV_RMU_TRANS_FA,3,3,0.0,,3,3,2.5,6,,2025-12-04T13:31:37
LOG_20251204_133137_214814,OLY-BEG-B-C-03,MOV_RING_DIP_BOTTOM_HOLD,3,15,0.0,,3,15,15.0,6,,2025-12-04T13:31:37
LOG_20251204_133137_272554,OLY-BEG-B-C-03,MOV_HOLLOW,3,,0.0,,3,0,30.0,6,,2025-12-04T13:31:37
LOG_20251204_133154_178964,10W_SQUAT-D-07,MOV_FRONT_SQUAT,4,4,70.0,81.0,4,4,70.0,6,,2025-12-04T13:31:54
