LocalDate,Sessions,Sets,TotalReps,TotalVolume_kg,TopWeight_kg,AvgWeight_kg,WorkTime_s,RestTime_s,Density_mean,Deadlift_Vol_kg,Olympic_Vol_kg,Other_Vol_kg,Press_Vol_kg,Squat_Vol_kg,UpperPullPush_Vol_kg,Deadlift_Top_kg,Olympic_Top_kg,Other_Top_kg,Press_Top_kg,Squat_Top_kg,UpperPullPush_Top_kg,Deadlift_Sets,Olympic_Sets,Other_Sets,Press_Sets,Squat_Sets,UpperPullPush_Sets
2025-01-14,1,96,263.0,9107.5,120.0,40.0,5373.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-01-23,1,90,237.0,9057.5,120.0,43.111111111111114,5067.7,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-01-28,1,52,172.0,5190.0,50.0,30.384615384615383,3580.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-01-30,1,51,122.0,3655.0,50.0,25.6,4193.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-01-31,1,14,56.0,2200.0,50.0,40.0,1143.6000000000001,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-01,1,49,170.0,5020.0,50.0,33.333333333333336,4481.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-02,1,52,80.0,0.0,0.0,0.0,3303.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-04,1,96,193.0,4910.0,50.0,18.333333333333332,6395.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-05,1,60,186.0,4180.0,50.0,26.166666666666668,4091.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-08,1,92,206.0,4560.0,50.0,19.347826086956523,6637.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-09,1,48,175.0,3700.0,40.0,27.083333333333332,3739.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-10,1,56,97.0,0.0,0.0,0.0,4027.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-13,2,126,269.0,4795.0,50.0,15.925925925925927,8875.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-15,1,15,30.0,270.0,30.0,12.857142857142858,940.8000000000001,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-16,1,16,49.0,1520.0,40.0,29.375,1297.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-21,1,62,197.0,5620.0,60.0,31.93548387096774,4098.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-22,1,12,30.0,490.0,35.0,25.833333333333332,694.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-23,2,134,272.0,5560.0,65.0,19.174228675136117,8261.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-24,1,54,163.0,5320.0,40.0,36.48148148148148,3870.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-25,1,50,103.0,2160.0,42.5,13.7,2983.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-02-26,1,52,135.0,4520.0,60.0,37.30769230769231,3952.7,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-01,1,64,82.0,940.0,50.0,10.390625,3955.2,0.0,1.0,,,,,,,,,,,,,,,,,,
